,Code,Description
389,10413,"Augustus Downs, Australia: Augustus Downs Airport"
390,10414,"Augusta/Waterville, ME: Augusta State"
391,10415,"Abu Dhabi, United Arab Emirates: Abu Dhabi International"
392,10416,"Alakanuk, AK: Alakanuk Airport"
393,10417,"Austin/Albert Lea, MN: Austin Municipal"
394,10418,"Auburn, CA: Auburn Municipal"
395,10419,"Auburn, AL: Auburn University Regional"
396,10420,"Aguan, Papua New Guinea: Aguan Papua N.G."
397,10421,"Atuona, French Polynesia: Hiva Oa/Atuona"
398,10422,"Aurillac, France: Aurillac Airport"
399,10423,"Austin, TX: Austin - Bergstrom International"
400,10424,"Wausau, WI: Wausau Downtown"
401,10425,"Araguaina, Brazil: Araguaina Airport"
402,10426,"Aneityum, Vanuatu: Aneityum Airport"
403,10427,"Aurora, IL: Aurora Municipal"
404,10428,"Aviano, Italy: Aviano AB"
405,10430,"Ciego de Avila, Cuba: Maximo Gomez"
406,10431,"Asheville, NC: Asheville Regional"
407,10432,"Avignon, France: Avignon Caumont"
408,10433,"Avon Park, FL: Avon Park Executive"
409,10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
410,10435,"Avalon, Australia: Avalon Airport"
411,10436,"Tucson, AZ: Marana Regional"
412,10437,"Avalon, CA: Catalina"
413,10438,"Awasa, Ethiopia: Lake Awasa"
414,10439,"Wake Island, TT: Wake Island Airfield"
415,10440,"West Memphis, AR: West Memphis Municipal"
416,10441,"Awar, Papua New Guinea: Awar Airport"
417,10442,"Andrews, TX: Andrews County"
418,10443,"Ahwaz, Iran: Ahwaz Airport"
419,10444,"The Valley, Anguilla: Clayton J. Lloyd"
420,10445,"Alexandria Bay, NY: Maxson Airfield"
421,10446,"Aramac, Australia: Aramac Airport"
422,10447,"Alexandroupolis, Greece: Dimokritos"
423,10448,"Armenia, Colombia: El Eden"
424,10449,"Alexandria, MN: Chandler Field"
425,10450,"Spring Point, The Bahamas: Spring Point Airport"
426,10451,"Altus, OK: Altus/Quartz Mountain Regional"
427,10452,"Akita, Japan: Akita Airport"
428,10453,"Axum, Ethiopia: Axum Atse Yohannes IV"
429,10454,"Wapakoneta, OH: Neil Armstrong"
430,10455,"Eagle Nest, NM: Angel Fire"
431,10456,"Anthony Lagoon, Australia: Anthony Lagoon Airport"
432,10457,"Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte"
433,10458,"Ayers Rock, Australia: Ayers Rock Connellan"
434,10459,"Ayr, Australia: Ayr Airport"
435,10460,"Waycross, GA: Waycross-Ware County"
436,10461,"Antalya, Turkey: Antalya Airport"
437,10462,"Ayawasi, Indonesia: Ayawasi Airport"
438,10463,"Grand Canyon, AZ: Valle"
439,10464,"Williams, AZ: H. A. Clark Memorial Field"
440,10465,"Glendale, AZ: Glendale Municipal"
441,10466,"Phoenix, AZ: Phoenix - Mesa Gateway"
442,10467,"Yazd, Iran: Shahid Sadooghi"
443,10468,"Apatzingan, Mexico: Pablo L. Sidar"
444,10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
445,10470,"Samana, Dominican Republic: El Catey International"
446,10471,"Biddeford, ME: Biddeford Municipal"
